Date,Week Day,Total Time,Most Used Time,Others Time,Extra Time,Most Used Category,Most Used App,Use Time,First Pickup,Total Pickups,First App,Use Number,Total Notifications,Most Notified App,App Notifications
11/13/2021,Saturday,11.4,6.883333333,3.9,0.616666667,Entertainment,Netflix,6.75,12:01 AM,56,Messages,11,32,Messages,11
11/14/2021,Sunday,6.5,3.833333333,1.883333333,0.783333333,Entertainment,TikTok,3,12:08 AM,46,Instagram,9,47,Snapchat,17
11/15/2021,Monday,12.05,9.183333333,2.466666667,0.4,Entertainment,Disney+,8.15,6:49 AM,68,Instagram,15,64,Instagram,17
11/16/2021,Tuesday,11.01666667,5.95,3.716666667,1.35,Entertainment,Netflix,5.6,7:43 AM,54,Music,15,42,Snapchat,20
11/17/2021,Wednesday,7.35,4.383333333,2.45,0.516666667,Entertainment,YouTube,4.216666667,7:04 AM,54,Instagram,8,50,Discord,18
11/18/2021,Thursday,13.16666667,9.416666667,3.183333333,0.566666667,Entertainment,Netflix,8.883333333,8:49 AM,35,Instagram,6,54,Instagram,15
11/19/2021,Friday,6.716666667,2.983333333,3.1,0.633333333,Social,YouTube,2.733333333,7:08 AM,55,Outlook,9,57,Instagram,24
11/20/2021,Saturday,6.8,4.716666667,1.216666667,0.866666667,Social,TikTok,3.066666667,1:08 AM,67,Music,10,72,Premier League,22
11/21/2021,Sunday,4.816666667,2.1,2.216666667,0.5,Social,YouTube,2.083333333,9:19 AM,30,Instagram,9,31,Instagram,11
11/22/2021,Monday,4.9,3.433333333,0.9,0.566666667,Social,TikTok,2.25,12:03 AM,70,Instagram,19,68,Snapchat,25
11/23/2021,Tuesday,10.7,5.2,4.966666667,0.533333333,Social,YouTube,4.35,6:00 AM,70,Instagram,17,87,Messages,24
11/24/2021,Wednesday,5.933333333,2.816666667,2.766666667,0.35,Social,YouTube,2.566666667,7:22 AM,51,Instagram,18,53,Instagram,36
11/25/2021,Thursday,13.58333333,8.266666667,4.833333333,0.483333333,Entertainment,YouTube,8.166666667,12:10 AM,64,Instagram,21,46,Instagram,20
11/26/2021,Friday,8.85,6.383333333,1.916666667,0.55,Entertainment,AppleTV,5.366666667,8:11 AM,48,Snapchat,13,49,Snapchat,17
11/27/2021,Saturday,7.25,4.75,2.383333333,0.116666667,Entertainment,YouTube,4.75,1:08 AM,21,Instagram,7,13,Instagram,2
11/28/2021,Sunday,4.966666667,3.116666667,1.316666667,0.533333333,Social,TikTok,2.85,12:14 AM,31,Messages,6,31,Messages,9
